Rey,u_mean,du/dy,TKE*,u_rms,v_rms,w_rms,uv
2273.232858,0.991827292,0.106537467,2.57E-03,0.002530768,1.25E-03,1.37E-03,4.37E-04
2331.127218,0.993972698,0.091943247,0.002491139,0.002424112,1.23E-03,1.33E-03,3.75E-04
2389.200099,0.995798814,0.076954307,0.002421127,0.002331156,1.22E-03,0.001294848,3.13E-04
2447.415797,0.997311241,0.061710297,0.00236288,0.002253224,1.20E-03,0.001267648,2.50E-04
2505.738608,0.998487573,0.046321084,0.00231704,0.002191455,1.20E-03,0.001246596,1.88E-04
2564.132827,0.999322209,0.030877442,0.002284022,0.002146636,1.19E-03,0.001231673,1.25E-04
2622.598455,0.999831953,0.015433547,0.002264086,0.0021194,1.19E-03,0.001222776,6.26E-05
2681.081934,1,0,0.002257414,0.00211025,1.18E-03,0.00121982,0
3.69E-13,0,9.88E+00,6.67E-37,4.76E-37,0.00E+00,8.58E-37,0.00E+00
0.192649886,0.000577244,9.88E+00,2.96E-08,4.57E-08,2.97E-15,1.35E-08,2.66E-12
0.712202317,0.002133832,9.88E+00,4.04E-07,6.24E-07,5.51E-13,1.84E-07,1.35E-10
1.692817562,0.005071109,9.88E+00,2.27E-06,3.52E-06,1.73E-11,1.03E-06,1.82E-09
3.268525579,0.009789067,9.87E+00,8.43E-06,1.31E-05,2.35E-10,3.75E-06,1.31E-08
5.573188137,0.016685556,9.87E+00,2.43E-05,3.81E-05,1.92E-09,1.06E-05,6.56E-08
8.740460979,0.026155164,9.86E+00,5.93E-05,9.35E-05,1.11E-08,2.50E-05,2.55E-07
12.90375605,0.03858746,9.842606866,0.00012762,0.000203504,4.94E-08,5.17E-05,8.31E-07
18.00355391,0.053790069,9.822647042,0.000244979,0.000395277,1.74E-07,9.45E-05,2.29E-06
24.03841321,0.071736185,9.794089864,0.000429895,0.000702619,5.06E-07,0.000156665,5.50E-06
31.00662832,0.092384297,9.752244921,0.000702565,0.001163792,1.27E-06,0.000240071,1.19E-05
38.90622982,0.1156692,9.690253342,0.001083437,0.001819012,2.81E-06,0.000345053,2.36E-05
47.73498506,0.141489565,9.599018819,0.001590883,0.002705784,5.64E-06,0.000470344,4.33E-05
57.49039877,0.169693018,9.46770703,0.002237787,0.003851826,1.04E-05,0.000613339,7.43E-05
68.16971381,0.200061212,9.284962072,0.003027447,0.005266416,1.79E-05,0.000770569,1.20E-04
79.76991187,0.232298811,9.04075046,0.003949856,0.006932434,2.90E-05,0.000938264,1.84E-04
92.28771442,0.266030754,8.72845032,0.004979848,0.008802169,4.46E-05,0.001112885,2.67E-04
105.7195836,0.300810978,8.346612511,0.006078285,0.010799396,6.57E-05,0.001291477,3.71E-04
120.0617231,0.336143197,7.899854585,0.00719646,0.012828112,9.30E-05,0.001471786,4.93E-04
135.3100794,0.371511115,7.398605796,0.00828268,0.014785855,0.000127355,0.00165215,6.31E-04
151.460343,0.40641292,6.857779742,0.009289241,0.016577939,0.000169286,0.001831257,7.81E-04
168.5079493,0.44039396,6.294752632,0.010178025,0.018128938,0.000219236,0.002007875,9.36E-04
186.4480802,0.473072304,5.727162501,0.010923621,0.019389165,0.000277422,0.002180655,1.09E-03
205.2756652,0.504153995,5.17100136,0.011513814,0.020335751,0.000343829,0.002348048,1.24E-03
224.9853831,0.533437372,4.639307064,0.011948021,0.020969486,0.000418201,0.002508355,1.39E-03
245.5716635,0.560808025,4.141558752,0.012234581,0.021309286,0.000500035,0.002659842,1.52E-03
267.0286879,0.58622732,3.683701587,0.012387769,0.021386037,0.000588593,0.002800907,1.64E-03
289.3503922,0.609717761,3.268600669,0.012425111,0.021237042,0.000682929,0.002930252,1.75E-03
312.5304674,0.631347825,2.896680147,0.012365323,0.020901696,0.000781927,0.003047024,1.84E-03
336.5623623,0.651217866,2.56656876,0.012226891,0.020418552,0.00088434,0.00315089,1.92E-03
361.4392847,0.669447877,2.275680395,0.012027172,0.019823522,0.000988838,0.003241985,1.98E-03
387.1542037,0.686167579,2.020722658,0.011781813,0.019148772,0.001094066,0.003320788,2.04E-03
413.6998516,0.701509075,1.798118864,0.011504354,0.018422016,0.001198696,0.003387995,2.08E-03
441.0687257,0.715601948,1.604304215,0.011206084,0.017666265,0.001301475,0.003444427,2.12E-03
469.2530908,0.728570201,1.435893307,0.010896168,0.01690006,0.001401252,0.003491024,2.14E-03
498.2449812,0.740530504,1.289777089,0.01058186,0.016137885,0.001496999,0.003528836,2.16E-03
528.036203,0.751591472,1.163174553,0.010268621,0.015390567,0.001587825,0.003558849,2.17E-03
